"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Option1 Linked To","Option2 Name","Option2 Value","Option2 Linked To","Option3 Name","Option3 Value","Option3 Linked To","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Unit Price Total Measure","Unit Price Total Measure Unit","Unit Price Base Measure","Unit Price Base Measure Unit","Variant Barcode","Image Src","Image Position","Image Alt Text","Gift Card","SEO Title","SEO Description","Age group (product.metafields.shopify.age-group)","Closure type (product.metafields.shopify.closure-type)","Color (product.metafields.shopify.color-pattern)","Footwear material (product.metafields.shopify.footwear-material)","Heel height type (product.metafields.shopify.heel-height-type)","Occasion style (product.metafields.shopify.occasion-style)","Shoe size (product.metafields.shopify.shoe-size)","Target gender (product.metafields.shopify.target-gender)","Toe style (product.metafields.shopify.toe-style)","Variant Image","Variant Weight Unit","Variant Tax Code","Cost per item","Status"
"moah-crystal-heel-mesh-slingback-pump","MOAH Crystal Heel Mesh Slingback Pump | حذاء سلينغ باك شبكي من MOAH بكعب كريستالي","<div><h3>MOAH Crystal Heel Mesh Slingback Pump</h3><p>A statement slingback heel designed with a sparkling mesh upper and a refined crystal accent set into the heel for a polished evening finish.</p><ul><li>Elegant slingback silhouette with a stitched back strap.</li><li>Rhinestone mesh upper with a delicate lattice texture.</li><li>Slim high heel finished with a square crystal accent.</li><li>Available in black, white, and beige.</li><li>Ideal for evenings, weddings, parties, and elevated occasion styling.</li></ul></div> | <div><h3>حذاء سلينغ باك شبكي من MOAH بكعب كريستالي</h3><p>تصميم سلينغ باك لافت بواجهة شبكية لامعة وتفصيلة كريستالية راقية على الكعب، ليمنح الإطلالة لمسة مسائية فاخرة.</p><ul><li>قصة سلينغ باك أنيقة مع حزام خلفي مخيط.</li><li>واجهة شبكية مرصعة بلمعة راقية ونمط شبكي واضح.</li><li>كعب رفيع عال مزين بتفصيلة كريستالية مربعة.</li><li>متوفر بألوان الأسود والأبيض والبيج.</li><li>مناسب للسهرات، حفلات الزفاف، الحفلات، والمناسبات الراقية.</li></ul></div>","MOAH","Apparel & Accessories > Shoes","Women's Heels","MOAH, women heels, slingback heel, mesh heel, crystal heel, rhinestone pump, pointed toe, evening shoes, luxury footwear, black, white, beige, أحذية نسائية, كعب نسائي, سلينغ باك, شبك, كريستال, أسود, أبيض, بيج","FALSE","Color","Black | أسود","","Size","37","","","","","MOAH-CRYSTALHEELMESHSLINGBACKPUMP-BLACK-37","","shopify","0","deny","manual","0.00","","TRUE","TRUE","","","","","","product-media/moah-crystal-heel-mesh-slingback-pump/01-side-left.jpg","1","MOAH Crystal Heel Mesh Slingback Pump - side left view | حذاء سلينغ باك شبكي من MOAH بكعب كريستالي - منظر جانبي لليسار","FALSE","MOAH Crystal Heel Mesh Slingback Pump | Luxury Women's Heels | حذاء سلينغ باك شبكي من MOAH بكعب كريستالي | أحذية نسائية فاخرة","A luxury MOAH slingback pump with a rhinestone mesh upper, stitched back strap, pointed front, slim high heel, and square crystal heel accent in black, white, and beige. | حذاء سلينغ باك فاخر من MOAH بواجهة شبكية مرصعة، حزام خلفي مخيط، مقدمة أنيقة، كعب رفيع عال، وتفصيلة كريستالية مربعة على الكعب بألوان الأسود والأبيض والبيج.","Adult","Slingback | سلينغ باك","Black | أسود","Synthetic upper; Mesh; Rhinestones; Crystal accent | خامة صناعية؛ شبك؛ راينستون؛ تفصيلة كريستالية","High heel | كعب عال","Evening; Party; Wedding; Occasion | سهرة؛ حفلات؛ زفاف؛ مناسبات","37","Female | نساء","Pointed toe | مقدمة مدببة","","kg","","","draft"
"moah-crystal-heel-mesh-slingback-pump","","","","","","","","Color","Black | أسود","","Size","38","","","","","MOAH-CRYSTALHEELMESHSLINGBACKPUMP-BLACK-38","","shopify","0","deny","manual","0.00","","TRUE","TRUE","","","","","","product-media/moah-crystal-heel-mesh-slingback-pump/02-top-3q-front.jpg","2","MOAH Crystal Heel Mesh Slingback Pump - top three-quarter front view | حذاء سلينغ باك شبكي من MOAH بكعب كريستالي - منظر علوي أمامي بزاوية","","","","","","Black | أسود","","","","38","","","","kg","","","draft"
"moah-crystal-heel-mesh-slingback-pump","","","","","","","","Color","Black | أسود","","Size","39","","","","","MOAH-CRYSTALHEELMESHSLINGBACKPUMP-BLACK-39","","shopify","0","deny","manual","0.00","","TRUE","TRUE","","","","","","product-media/moah-crystal-heel-mesh-slingback-pump/03-side-right.jpg","3","MOAH Crystal Heel Mesh Slingback Pump - side right view | حذاء سلينغ باك شبكي من MOAH بكعب كريستالي - منظر جانبي لليمين","","","","","","Black | أسود","","","","39","","","","kg","","","draft"
"moah-crystal-heel-mesh-slingback-pump","","","","","","","","Color","Black | أسود","","Size","40","","","","","MOAH-CRYSTALHEELMESHSLINGBACKPUMP-BLACK-40","","shopify","0","deny","manual","0.00","","TRUE","TRUE","","","","","","product-media/moah-crystal-heel-mesh-slingback-pump/04-lifestyle-reference-style.jpg","4","MOAH Crystal Heel Mesh Slingback Pump worn on foot - lifestyle studio view | حذاء سلينغ باك شبكي من MOAH بكعب كريستالي أثناء الارتداء - صورة ستوديو","","","","","","Black | أسود","","","","40","","","","kg","","","draft"
"moah-crystal-heel-mesh-slingback-pump","","","","","","","","Color","Black | أسود","","Size","41","","","","","MOAH-CRYSTALHEELMESHSLINGBACKPUMP-BLACK-41","","shopify","0","deny","manual","0.00","","TRUE","TRUE","","","","","","","","","","","","","","Black | أسود","","","","41","","","","kg","","","draft"
"moah-crystal-heel-mesh-slingback-pump","","","","","","","","Color","White | أبيض","","Size","37","","","","","MOAH-CRYSTALHEELMESHSLINGBACKPUMP-WHITE-37","","shopify","0","deny","manual","0.00","","TRUE","TRUE","","","","","","","","","","","","","","White | أبيض","","","","37","","","","kg","","","draft"
"moah-crystal-heel-mesh-slingback-pump","","","","","","","","Color","White | أبيض","","Size","38","","","","","MOAH-CRYSTALHEELMESHSLINGBACKPUMP-WHITE-38","","shopify","0","deny","manual","0.00","","TRUE","TRUE","","","","","","","","","","","","","","White | أبيض","","","","38","","","","kg","","","draft"
"moah-crystal-heel-mesh-slingback-pump","","","","","","","","Color","White | أبيض","","Size","39","","","","","MOAH-CRYSTALHEELMESHSLINGBACKPUMP-WHITE-39","","shopify","0","deny","manual","0.00","","TRUE","TRUE","","","","","","","","","","","","","","White | أبيض","","","","39","","","","kg","","","draft"
"moah-crystal-heel-mesh-slingback-pump","","","","","","","","Color","White | أبيض","","Size","40","","","","","MOAH-CRYSTALHEELMESHSLINGBACKPUMP-WHITE-40","","shopify","0","deny","manual","0.00","","TRUE","TRUE","","","","","","","","","","","","","","White | أبيض","","","","40","","","","kg","","","draft"
"moah-crystal-heel-mesh-slingback-pump","","","","","","","","Color","White | أبيض","","Size","41","","","","","MOAH-CRYSTALHEELMESHSLINGBACKPUMP-WHITE-41","","shopify","0","deny","manual","0.00","","TRUE","TRUE","","","","","","","","","","","","","","White | أبيض","","","","41","","","","kg","","","draft"
